RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,balance_salary_ratio,products_per_year,age_group,engagement_score,credit_score_band,is_zero_balance,high_value_customer,tenure_stability,age_tenure_ratio,inactive_high_balance,clv_estimated,Exited
17,13039279,421,1,0,20,7,89969.04,1,0,0,59578.99,1.5100546341145744,0.125,0,0.075,0,0,0,2,2.5,1,3346.92,0
18,10405393,734,0,0,68,3,216596.94,1,0,0,117815.26,1.8384299416735856,0.25,3,0.075,2,0,0,1,17.0,1,5000.0,0
19,18007152,407,2,1,54,10,121811.47,2,1,0,66557.8,1.8301332055265418,0.18181818181818182,2,0.35,0,0,0,2,4.909090909090909,1,5000.0,1
20,15664514,339,1,0,65,9,51468.05,1,1,1,50017.75,1.0289751343246283,0.1,3,0.775,0,0,0,2,6.5,0,3097.64,0
21,15502173,539,2,1,40,6,249162.57,1,0,1,127464.64,1.9547430193736917,0.14285714285714285,1,0.575,0,0,0,2,5.714285714285714,0,5000.0,1
22,11643540,542,0,1,34,8,237278.87,1,1,0,147813.78,1.6052445499699015,0.1111111111111111,1,0.275,0,0,0,2,3.7777777777777777,1,5000.0,0
23,11220745,585,2,1,39,5,35580.22,2,0,0,145396.03,0.2447107757290503,0.3333333333333333,1,0.15,1,0,0,1,6.5,0,5000.0,0
24,14021687,773,2,0,29,5,116767.95,2,1,1,169310.34,0.6896640827483853,0.3333333333333333,0,0.85,3,0,0,1,4.833333333333333,0,5000.0,0
25,17007539,685,2,1,48,6,0.0,2,1,1,145895.76,0.0,0.2857142857142857,2,0.85,2,1,0,2,6.857142857142857,0,5000.0,0
26,16993862,499,0,1,83,9,139370.44,1,0,1,82665.13,1.685943686973129,0.1,3,0.575,0,0,0,2,8.3,0,5000.0,0
27,18405152,700,0,0,76,0,126786.61,2,0,0,196048.18,0.6467081882209352,2.0,3,0.15,2,0,0,0,76.0,1,5000.0,1
28,10681895,577,0,1,31,1,52862.86,3,0,0,191608.76,0.27588813847478333,1.5,1,0.225,0,0,0,0,15.5,1,5000.0,1
29,19877513,423,0,0,59,5,0.0,1,0,1,95866.16,0.0,0.16666666666666666,2,0.575,0,1,0,1,9.833333333333334,0,4831.72,0
30,19692063,311,1,0,23,6,0.0,3,1,0,194519.12,0.0,0.42857142857142855,0,0.425,0,1,0,2,3.2857142857142856,0,5000.0,1
31,13281649,302,1,0,22,1,0.0,1,0,1,196794.44,0.0,0.5,0,0.575,0,1,0,0,11.0,0,5000.0,0
32,11140707,423,2,0,64,6,115258.32,1,0,0,151273.09,0.7619171267201146,0.14285714285714285,3,0.075,0,0,0,2,9.142857142857142,1,5000.0,1
33,10111501,751,0,0,40,0,160572.23,2,0,0,163434.11,0.9824830784523596,2.0,1,0.15,3,0,1,0,40.0,1,5000.0,0
34,13747932,555,0,1,70,2,29871.5,2,0,1,31685.43,0.942722168448765,0.6666666666666666,3,0.65,0,0,0,0,23.333333333333332,0,1544.15,0
35,11395795,548,0,0,29,5,192127.36,2,0,0,61353.42,3.1314347034818355,0.3333333333333333,0,0.15,0,0,0,1,4.833333333333333,1,3609.64,0
36,14336719,519,0,0,26,0,0.0,1,1,0,33261.59,0.0,1.0,0,0.275,0,1,0,0,26.0,0,1197.54,0
37,16256151,441,0,0,71,6,162328.01,2,1,1,39112.14,4.150216781368103,0.2857142857142857,3,0.85,0,0,0,2,10.142857142857142,0,2432.91,0
38,11905233,693,0,0,33,5,207446.84,2,0,0,157671.69,1.315680223379204,0.3333333333333333,1,0.15,2,0,1,1,5.5,1,5000.0,0
39,18051146,307,0,1,22,6,0.0,1,0,0,48893.53,0.0,0.14285714285714285,0,0.075,0,1,0,2,3.142857142857143,0,2605.05,0
40,11746448,637,1,1,77,5,41092.77,2,0,1,81818.37,0.5022376730595701,0.3333333333333333,3,0.65,1,0,0,1,12.833333333333334,0,4811.51,1
41,14802041,816,0,1,70,7,211840.63,1,0,0,92928.94,2.2795735152739796,0.125,3,0.075,4,0,0,2,8.75,1,5000.0,0
42,11098278,785,2,1,87,7,24402.98,1,0,1,22992.23,1.061311525175019,0.125,3,0.575,3,0,0,2,10.875,0,1291.75,0
43,17390791,503,1,0,62,7,21257.48,1,1,0,173647.97,0.12241638980064207,0.125,3,0.275,0,0,0,2,7.75,0,5000.0,0
44,17347889,770,0,0,53,2,0.0,2,1,0,170684.49,0.0,0.6666666666666666,2,0.35,3,1,0,0,17.666666666666668,0,5000.0,0
45,10135101,430,2,1,68,7,49717.5,2,1,0,13639.31,3.6448951673385723,0.25,3,0.35,0,0,0,2,8.5,0,894.22,1
46,11107504,432,2,1,77,1,114529.45,2,1,0,122513.62,0.9348227174846562,1.0,3,0.35,0,0,0,0,38.5,1,5000.0,1
47,10874123,489,0,0,65,0,0.0,1,0,1,123718.0,0.0,1.0,3,0.575,0,1,0,0,65.0,0,4453.95,0
48,17325451,309,0,1,41,10,56196.11,2,1,1,128770.14,0.4364029859485596,0.18181818181818182,1,0.85,0,0,0,2,3.727272727272727,0,5000.0,0
49,10550339,446,1,0,84,1,196243.02,2,1,0,59151.46,3.3175800296386657,1.0,3,0.35,0,0,0,0,42.0,1,2685.15,1
50,13368546,770,0,0,70,1,0.0,2,1,1,42136.51,0.0,1.0,3,0.85,3,1,0,0,35.0,0,1911.57,0
51,16999053,720,0,1,83,3,0.0,2,0,0,26454.65,0.0,0.5,3,0.15,2,1,0,1,20.75,0,1377.99,0
52,19448771,481,0,1,59,10,0.0,1,0,0,147040.04,0.0,0.09090909090909091,2,0.075,0,1,0,2,5.363636363636363,0,5000.0,0
53,10528005,472,2,0,51,9,0.0,2,1,0,103544.86,0.0,0.2,2,0.35,0,1,0,2,5.1,0,5000.0,0
54,16779811,491,1,1,81,7,207689.25,2,1,1,126426.78,1.6427501139385663,0.25,3,0.85,0,0,0,2,10.125,0,5000.0,1
55,11126359,365,1,0,63,2,0.0,1,1,1,115954.9,0.0,0.3333333333333333,3,0.775,0,1,0,0,21.0,0,4842.31,0
56,13164146,387,2,1,76,6,96487.84,2,1,0,135001.73,0.7147102877104781,0.2857142857142857,3,0.35,0,0,0,2,10.857142857142858,1,5000.0,0
57,13895808,846,0,1,84,9,175825.91,1,0,1,144040.05,1.2206652895129548,0.1,3,0.575,4,0,0,2,8.4,0,5000.0,0
58,16355293,681,1,1,39,3,0.0,2,0,1,50212.37,0.0,0.5,1,0.65,2,1,0,1,9.75,0,2615.27,0
59,11145268,673,0,0,32,2,188313.55,1,0,0,140714.63,1.3382560984874246,0.3333333333333333,1,0.075,2,0,0,0,10.666666666666666,1,5000.0,0
60,11290484,454,0,0,29,9,0.0,2,1,1,62445.21,0.0,0.2,0,0.85,0,1,0,2,2.9,0,4511.13,0
61,11208727,771,1,0,62,1,87328.4,1,1,1,15261.88,5.721620035013051,0.5,3,0.775,3,0,0,0,31.0,0,594.51,1
62,12424167,397,0,1,78,10,0.0,2,1,1,165592.12,0.0,0.18181818181818182,3,0.85,0,1,0,2,7.090909090909091,0,5000.0,0
63,10096042,833,1,0,91,5,0.0,1,1,0,152807.71,0.0,0.16666666666666666,3,0.275,4,1,0,1,15.166666666666666,0,5000.0,1
64,12001731,577,2,1,20,7,55870.9,1,1,1,152980.87,0.3652125575403151,0.125,0,0.775,0,0,0,2,2.5,0,5000.0,0
65,12204461,482,1,0,18,4,135264.99,1,1,1,81386.66,1.661984015758654,0.2,0,0.775,0,0,0,1,3.6,0,3868.95,0
66,16374113,713,1,0,68,7,245065.58,1,1,0,156976.14,1.5611545732072833,0.125,3,0.275,2,0,1,2,8.5,1,5000.0,0
67,15784864,529,1,1,38,10,15658.95,2,0,1,65081.83,0.24060032423298128,0.18181818181818182,1,0.65,0,0,0,2,3.4545454545454546,0,4920.47,0
68,10652236,448,0,0,53,5,128343.74,1,0,1,66623.86,1.9263641229414967,0.16666666666666666,2,0.575,0,0,0,1,8.833333333333334,0,3359.21,0
69,17945042,676,0,1,23,2,0.0,1,1,0,79525.61,0.0,0.3333333333333333,0,0.275,2,1,0,0,7.666666666666667,0,3321.19,0
70,15044291,697,0,1,23,0,147688.31,2,0,0,147470.83,1.0014679413688703,2.0,0,0.15,2,0,0,0,23.0,1,5000.0,0
71,19840612,632,0,1,57,10,64011.39,2,1,1,57175.92,1.1195319719914958,0.18181818181818182,2,0.85,1,0,0,2,5.181818181818182,0,4323.32,0
72,16051299,554,0,0,69,10,226114.66,2,1,0,24124.51,9.372430261577891,0.18181818181818182,3,0.35,0,0,0,2,6.2727272727272725,1,1826.21,1
73,15065860,481,2,1,84,7,82907.79,1,1,0,59255.46,1.3991350478918247,0.125,3,0.275,0,0,0,2,10.5,1,3328.71,1
74,18155300,522,0,0,54,0,239786.63,3,1,1,97251.76,2.4656023129832,3.0,2,0.925,0,0,0,0,54.0,0,4670.6,0
75,10660880,781,0,1,66,9,6013.01,1,1,1,70591.1,0.08517964474778339,0.1,3,0.775,3,0,0,2,6.6,0,4371.32,0
76,10815720,498,0,0,82,5,208868.11,1,0,0,146747.39,1.4233076764930774,0.16666666666666666,3,0.075,0,0,0,1,13.666666666666666,1,5000.0,1
77,10114113,832,0,0,50,2,0.0,1,0,1,24705.6,0.0,0.3333333333333333,2,0.575,4,1,0,0,16.666666666666668,0,1032.0,0
78,19658823,380,1,1,33,4,54397.51,2,1,1,134629.4,0.4040507195997338,0.4,1,0.85,0,0,0,1,6.6,0,5000.0,0
79,17279879,389,1,0,79,10,0.0,1,1,0,69623.33,0.0,0.09090909090909091,3,0.275,0,1,0,2,7.181818181818182,0,4511.64,1
80,16007890,483,2,0,18,8,79571.62,2,1,1,44929.56,1.7709910582018118,0.2222222222222222,0,0.85,0,0,0,2,2.0,0,3095.64,0
81,10684899,301,1,1,38,6,148050.21,1,0,1,54315.76,2.725681907389174,0.14285714285714285,1,0.575,0,0,0,2,5.428571428571429,0,2895.42,0
82,12447630,784,0,1,27,8,0.0,2,0,1,47726.29,0.0,0.2222222222222222,0,0.65,3,1,0,2,3.0,0,3287.65,0
83,17619603,487,2,1,66,9,107704.42,1,1,1,173579.2,0.6204879358359997,0.1,3,0.775,0,0,0,2,6.6,0,5000.0,0
84,10833030,356,0,0,38,6,0.0,2,0,0,66135.81,0.0,0.2857142857142857,1,0.15,0,1,0,2,5.428571428571429,0,4111.03,0
85,11568075,640,0,0,43,3,0.0,1,0,1,164434.38,0.0,0.25,1,0.575,1,1,0,1,10.75,0,5000.0,0
86,16427246,828,0,0,66,0,163637.72,1,1,0,65127.07,2.5125528823439724,1.0,3,0.275,4,0,0,0,66.0,1,2346.5,1
87,13303638,847,1,0,40,1,223637.37,1,1,1,10712.31,20.87472219136756,0.5,1,0.775,4,0,0,0,20.0,0,419.03,1
88,16508511,359,0,0,45,2,193093.04,1,0,1,11299.16,17.087637697165352,0.3333333333333333,1,0.575,0,0,0,0,15.0,0,473.82,0
89,13262789,736,0,1,55,8,194625.52,1,0,0,79869.46,2.436764731291143,0.1111111111111111,2,0.075,2,0,0,2,6.111111111111111,1,4717.68,1
90,11293345,499,1,1,26,1,149521.21,1,1,0,172297.52,0.8678032173462662,0.5,0,0.275,0,0,0,0,13.0,1,5000.0,1
91,14316674,760,0,0,88,1,0.0,2,0,0,122426.4,0.0,1.0,3,0.15,3,1,0,0,44.0,0,5000.0,0
92,13117858,634,1,1,91,10,221251.29,1,0,1,139106.11,1.5905102909549342,0.09090909090909091,3,0.575,1,0,0,2,8.272727272727273,0,5000.0,0
93,15333955,703,0,1,71,4,208576.43,1,0,1,88788.55,2.3491101148727522,0.2,3,0.575,2,0,0,1,14.2,0,4221.54,1
94,10985931,761,0,0,26,1,183117.18,1,1,0,62309.75,2.938773486115959,0.5,0,0.275,3,0,0,0,13.0,1,2424.69,0
95,18924936,793,0,0,53,9,220149.05,1,0,1,132158.05,1.665788684165027,0.1,2,0.575,3,0,0,2,5.3,0,5000.0,0
96,18675802,379,1,0,44,10,0.0,3,1,0,120095.92,0.0,0.2727272727272727,1,0.425,0,1,0,2,4.0,0,5000.0,0
97,15682832,698,0,1,30,5,74055.41,1,0,1,16617.78,4.456127946816794,0.16666666666666666,0,0.575,2,0,0,1,5.0,0,838.49,0
98,12419273,377,0,0,83,1,43494.76,2,0,0,115088.16,0.3779222995458478,1.0,3,0.15,0,0,0,0,41.5,0,5000.0,0
99,15485092,820,0,1,49,6,0.0,1,0,1,129840.09,0.0,0.14285714285714285,2,0.575,4,1,0,2,7.0,0,5000.0,0
100,14549758,646,2,1,66,9,112406.02,1,0,0,80000.07,1.4050564573698827,0.1,3,0.075,1,0,0,2,6.6,1,4954.92,1
101,11245387,406,2,0,69,10,30147.81,4,0,1,74971.14,0.40212017424072466,0.36363636363636365,3,0.8,0,0,0,2,6.2727272727272725,0,5000.0,0
102,16419205,461,1,0,41,6,0.0,2,0,1,159610.19,0.0,0.2857142857142857,1,0.65,0,1,0,2,5.857142857142857,0,5000.0,0
103,18284789,793,0,0,44,10,88051.51,2,1,1,80466.67,1.094247043564204,0.18181818181818182,1,0.85,3,0,0,2,4.0,0,5000.0,0
104,11932209,655,2,0,90,9,125174.43,1,1,0,64425.03,1.9429170166157994,0.1,3,0.275,1,0,0,2,9.0,1,3990.64,1
105,16112799,426,2,0,79,1,0.0,2,1,1,159094.1,0.0,1.0,3,0.85,0,1,0,0,39.5,0,5000.0,0
106,16912678,752,1,1,55,6,0.0,2,0,1,197120.14,0.0,0.2857142857142857,2,0.65,3,1,0,2,7.857142857142857,0,5000.0,0
107,11464830,695,0,1,58,7,115449.53,1,1,1,45109.44,2.5592641082640735,0.125,2,0.775,2,0,0,2,7.25,0,2534.72,0
108,15265232,342,0,0,18,8,60406.35,1,1,1,81901.71,0.7375378665736456,0.1111111111111111,0,0.775,0,0,0,2,2.0,0,4836.1,0
109,11295849,456,0,0,33,5,104228.33,2,1,0,10498.44,9.927037061024206,0.3333333333333333,1,0.35,0,0,0,1,5.5,1,618.44,0
110,16873116,765,2,1,18,8,98657.45,1,1,1,102289.38,0.964484147971686,0.1111111111111111,0,0.775,3,0,0,2,2.0,0,5000.0,0
111,16277036,493,0,1,78,6,235404.15,1,0,1,63738.48,3.693223571952579,0.14285714285714285,3,0.575,0,0,0,2,11.142857142857142,0,3398.45,0
112,17360802,320,0,1,88,2,50776.92,1,0,0,166868.56,0.3042910882008678,0.3333333333333333,3,0.075,0,0,0,0,29.333333333333332,1,5000.0,1
113,17854649,632,0,1,30,5,0.0,1,1,0,183996.66,0.0,0.16666666666666666,0,0.275,1,1,0,1,5.0,0,5000.0,0
114,12394685,795,1,0,39,10,199006.75,1,0,1,32072.46,6.204717233500845,0.09090909090909091,1,0.575,3,0,0,2,3.5454545454545454,0,2080.56,0
115,14190557,606,0,1,44,9,0.0,1,0,0,174122.56,0.0,0.1,1,0.075,1,1,0,2,4.4,0,5000.0,1
116,10085515,837,2,1,78,7,122664.44,1,0,0,50847.29,2.4123611629810955,0.125,3,0.075,4,0,0,2,9.75,1,2857.1,1
117,15854688,362,2,0,48,3,0.0,1,0,1,68512.57,0.0,0.25,2,0.575,0,1,0,1,12.0,0,3058.43,0
118,11660625,667,1,1,21,2,0.0,2,1,1,178291.09,0.0,0.6666666666666666,0,0.85,1,1,0,0,7.0,0,5000.0,0
119,15514372,658,0,1,61,3,239356.96,2,1,0,79396.68,3.0146593703997397,0.5,3,0.35,1,0,0,1,15.25,1,4137.57,1
120,15738314,842,1,1,29,3,0.0,2,1,1,13204.33,0.0,0.5,0,0.85,4,1,0,1,7.25,0,687.98,0
121,17657185,587,1,1,66,10,191065.19,1,1,1,19843.17,9.628278229827703,0.09090909090909091,3,0.775,1,0,0,2,6.0,0,1287.9,0
122,15390669,752,1,1,82,5,230597.78,1,1,1,74158.08,3.1095016281216,0.16666666666666666,3,0.775,3,0,0,1,13.666666666666666,0,3740.12,0
123,13684153,380,0,1,23,4,219817.03,2,1,0,178039.74,1.2346445538251527,0.4,0,0.35,0,0,1,1,4.6,1,5000.0,0
124,18310235,324,0,1,92,9,0.0,2,1,0,26848.14,0.0,0.2,3,0.35,0,1,0,2,9.2,0,1939.52,0
125,10631772,694,0,1,67,4,0.0,2,1,1,47159.15,0.0,0.4,3,0.85,2,1,0,1,13.4,0,2614.72,0
126,11364738,302,0,1,21,8,105610.43,2,0,0,193794.47,0.5449581974232937,0.2222222222222222,0,0.15,0,0,0,2,2.3333333333333335,1,5000.0,0
127,17098938,782,0,1,34,7,135428.84,1,0,1,88179.63,1.5358116629468397,0.125,1,0.575,3,0,0,2,4.25,0,4953.79,0
128,10758892,311,0,0,30,3,0.0,1,1,1,175802.83,0.0,0.25,0,0.775,0,1,0,1,7.5,0,5000.0,0
129,14811535,679,0,1,84,10,0.0,1,1,1,82842.77,0.0,0.09090909090909091,3,0.775,2,1,0,2,7.636363636363637,0,5000.0,0
130,16061690,549,1,1,72,7,121916.38,1,1,1,108478.24,1.123868308811898,0.125,3,0.775,0,0,0,2,9.0,0,5000.0,1
131,15991491,655,0,0,45,10,0.0,2,1,1,189917.97,0.0,0.18181818181818182,1,0.85,1,1,0,2,4.090909090909091,0,5000.0,0
132,16171892,643,2,1,57,0,71288.03,1,0,0,191711.99,0.37184767709272076,1.0,2,0.075,1,0,0,0,57.0,1,5000.0,0
133,13101276,544,1,1,44,3,0.0,2,1,0,41451.64,0.0,0.5,1,0.35,0,1,0,1,11.0,0,2158.93,0
134,17910050,565,0,0,48,3,41483.52,2,1,0,138583.49,0.2993373933836319,0.5,2,0.35,0,0,0,1,12.0,0,5000.0,0
135,13795406,577,1,0,65,7,157303.35,2,0,0,90601.23,1.7361973320082742,0.25,3,0.15,0,0,0,2,8.125,1,5000.0,0
136,13064421,673,0,1,32,9,0.0,2,0,0,38454.97,0.0,0.2,1,0.15,2,1,0,2,3.2,0,2778.19,1
137,14875691,691,2,0,74,1,195036.69,1,1,0,14896.95,13.091511919425155,0.5,3,0.275,2,0,0,0,37.0,1,581.36,1
138,10231848,547,0,0,88,1,0.0,1,0,1,106481.31,0.0,0.5,3,0.575,0,1,0,0,44.0,0,4140.13,0
139,10041003,494,2,1,91,7,163298.99,2,1,1,27809.63,5.871819156919494,0.25,3,0.85,0,0,0,2,11.375,0,1823.83,0
140,19104594,323,0,1,30,3,147393.47,1,1,1,188290.23,0.7827951944442659,0.25,0,0.775,0,0,0,1,7.5,0,5000.0,0
141,14928170,729,0,1,48,7,0.0,2,1,1,57488.73,0.0,0.25,2,0.85,2,1,0,2,6.0,0,3766.9,0
142,13450264,424,0,0,37,0,163137.53,1,1,1,93565.88,1.7435392737259165,1.0,1,0.775,0,0,0,0,37.0,0,3370.07,0
143,15574072,539,2,1,65,5,212396.43,2,0,0,148011.57,1.4349891363956453,0.3333333333333333,3,0.15,0,0,0,1,10.833333333333334,1,5000.0,1
144,15211749,846,1,1,42,0,34441.44,1,0,1,106457.54,0.32351974768769143,1.0,1,0.575,4,0,0,0,42.0,0,3833.11,0
145,14344361,732,0,1,47,10,170725.1,2,0,1,81697.88,2.0896871536060226,0.18181818181818182,2,0.65,2,0,0,2,4.2727272727272725,0,5000.0,0
146,11750273,490,0,0,28,1,105480.41,2,0,1,129624.42,0.8137324453799263,1.0,0,0.65,0,0,0,0,14.0,0,5000.0,0
147,13793968,561,0,1,59,1,0.0,1,0,1,47560.46,0.0,0.5,2,0.575,0,1,0,0,29.5,0,1849.29,0
148,12123789,478,1,1,58,1,219384.26,2,0,0,103242.57,2.1249193533311566,1.0,2,0.15,0,0,0,0,29.0,1,4685.37,1
149,11238919,645,0,1,59,2,0.0,2,0,0,192999.99,0.0,0.6666666666666666,2,0.15,1,1,0,0,19.666666666666668,0,5000.0,0
150,19951935,384,0,0,43,5,44157.75,1,0,1,159103.81,0.2775387494570403,0.16666666666666666,1,0.575,0,0,0,1,7.166666666666667,0,5000.0,0
151,14343089,824,2,1,74,6,106952.86,3,1,0,73592.91,1.4532841100574763,0.42857142857142855,3,0.425,4,0,0,2,10.571428571428571,1,5000.0,1
152,11288043,843,2,0,63,9,0.0,2,1,1,183401.68,0.0,0.2,3,0.85,4,1,0,2,6.3,0,5000.0,1
153,15974188,464,0,1,31,9,36084.85,1,0,1,176225.97,0.20476349335178376,0.1,1,0.575,0,0,0,2,3.1,0,5000.0,0
154,18289757,426,1,1,45,0,162684.72,1,1,1,61578.56,2.6418623322414128,1.0,1,0.775,0,0,0,0,45.0,0,2218.52,1
155,17061081,597,0,1,67,4,0.0,2,1,1,187497.82,0.0,0.4,3,0.85,1,1,0,1,13.4,0,5000.0,0
156,16952262,656,1,1,26,9,191816.26,2,0,1,102216.75,1.8765455119096244,0.2,0,0.65,1,0,0,2,2.6,0,5000.0,0
157,19187553,654,0,1,44,1,34376.04,1,1,1,187236.47,0.18359594369652613,0.5,1,0.775,1,0,0,0,22.0,0,5000.0,0
158,17820109,323,1,0,83,7,0.0,1,1,0,114437.82,0.0,0.125,3,0.275,0,1,0,2,10.375,0,5000.0,0
159,12885142,691,1,1,51,4,94715.04,2,1,1,28380.51,3.337209331004587,0.4,2,0.85,2,0,0,1,10.2,0,1574.58,0
160,11551128,336,2,0,56,1,56750.89,1,0,0,36442.41,1.5572332556146637,0.5,2,0.075,0,0,0,0,28.0,1,1417.47,0
161,16162458,488,0,1,69,0,0.0,1,0,0,104592.78,0.0,1.0,3,0.075,0,1,0,0,69.0,0,3765.44,0
162,15754964,694,2,0,42,3,145316.14,1,0,1,14718.47,9.872375839619227,0.25,1,0.575,2,0,0,1,10.5,0,658.7,0
163,17994929,788,0,1,79,0,116907.18,1,1,0,155997.43,0.7494125421646871,1.0,3,0.275,3,0,0,0,79.0,1,5000.0,1
164,10163892,649,0,1,19,2,0.0,2,0,0,68458.32,0.0,0.6666666666666666,0,0.15,1,1,0,0,6.333333333333333,0,3335.48,0
165,19192042,388,1,1,53,6,43170.23,2,1,1,15948.46,2.706689129287136,0.2857142857142857,2,0.85,0,0,0,2,7.571428571428571,0,991.84,0
166,16418584,674,0,0,62,8,104752.61,2,0,1,133244.16,0.7861644655610756,0.2222222222222222,3,0.65,2,0,0,2,6.888888888888889,0,5000.0,0
167,18433025,320,2,0,35,5,70418.99,1,1,0,125076.19,0.5630042536133087,0.16666666666666666,1,0.275,0,0,0,1,5.833333333333333,1,5000.0,0
168,12112296,427,2,0,76,7,16956.04,1,0,1,34049.6,0.4979659682942445,0.125,3,0.575,0,0,0,2,9.5,0,1912.46,0
169,14490502,368,0,0,23,0,0.0,2,0,1,44440.16,0.0,2.0,0,0.65,0,1,0,0,23.0,0,1866.52,0
170,10278114,842,2,1,66,3,0.0,2,1,1,151250.73,0.0,0.5,3,0.85,4,1,0,1,16.5,0,5000.0,0
171,17728803,502,0,1,65,7,133196.01,1,1,1,38708.97,3.440870917750647,0.125,3,0.775,0,0,0,2,8.125,0,2175.34,0
172,19962236,607,1,1,77,0,107592.9,2,0,1,11225.02,9.58424267906168,2.0,3,0.65,1,0,0,0,77.0,0,472.69,0
173,10587585,735,0,0,33,6,121302.67,1,1,0,199945.49,0.6066756660744582,0.14285714285714285,1,0.275,2,0,0,2,4.714285714285714,1,5000.0,0
174,10713163,834,2,1,29,1,81562.97,1,0,1,65133.06,1.2522322422400816,0.5,0,0.575,4,0,0,0,14.5,0,2533.48,0
175,11313522,848,0,1,61,4,34930.06,2,1,1,179299.82,0.19481260598808192,0.4,3,0.85,4,0,0,1,12.2,0,5000.0,0
176,12904683,390,0,0,90,6,149655.29,1,1,1,88674.46,1.6876742449376636,0.14285714285714285,3,0.775,0,0,0,2,12.857142857142858,0,4726.12,0
177,13714874,517,0,1,76,10,0.0,1,1,0,192927.76,0.0,0.09090909090909091,3,0.275,0,1,0,2,6.909090909090909,0,5000.0,0
178,13820984,523,2,0,33,0,198318.05,2,1,1,91677.85,2.1631821297932943,2.0,1,0.85,0,0,0,0,33.0,0,3852.57,0
179,12426437,738,2,1,48,6,0.0,1,1,1,152367.58,0.0,0.14285714285714285,2,0.775,2,1,0,2,6.857142857142857,0,5000.0,0
180,14633649,484,1,0,38,5,0.0,2,1,0,193472.4,0.0,0.3333333333333333,1,0.35,0,1,0,1,6.333333333333333,0,5000.0,0
181,15604940,427,2,0,76,0,0.0,1,0,1,63639.75,0.0,1.0,3,0.575,0,1,0,0,76.0,0,2291.1,0
182,13639337,716,2,0,56,6,201600.79,3,1,0,15643.02,12.886763760209972,0.42857142857142855,2,0.425,2,0,0,2,8.0,1,1113.52,0
183,13917249,572,1,1,50,0,53144.3,1,0,0,95241.55,0.5579890500621834,1.0,2,0.075,0,0,0,0,50.0,1,3429.38,1
184,17624957,711,0,1,18,7,0.0,2,0,1,154644.98,0.0,0.25,0,0.65,2,1,0,2,2.25,0,5000.0,0
185,16298505,509,2,1,65,2,233247.77,1,1,1,117160.6,1.9908209686450167,0.3333333333333333,3,0.775,0,0,0,0,21.666666666666668,0,4895.07,0
186,12552206,568,1,1,51,1,40701.36,2,0,0,168698.45,0.24126551687038694,1.0,2,0.15,0,0,0,0,25.5,0,5000.0,0
187,16744886,305,0,0,20,0,247331.86,2,0,1,60673.88,4.07634691654932,2.0,0,0.65,0,0,0,0,20.0,0,2550.78,0
